fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6610878661087866,0.6111111111111112,0.48653846153846153,0.5291666666666667,0.49335304810222735
2,0.6799163179916318,0.5555555555555556,0.4291979949874687,0.47916666666666663,0.4504060710957263
3,0.6701461377870563,0.660377358490566,0.5079710144927536,0.571875,0.5318053197509903
4,0.6889352818371608,0.6415094339622641,0.577286683904331,0.5732142857142857,0.5736607142857142
5,0.6910229645093946,0.660377358490566,0.49789915966386555,0.5729166666666667,0.5293458781362007
6,0.6826722338204593,0.5471698113207547,0.43836580086580085,0.475,0.4441798941798942
7,0.7077244258872651,0.660377358490566,0.7116294524189262,0.6491071428571429,0.6684981684981685
8,0.6701461377870563,0.5660377358490566,0.4240896358543418,0.48750000000000004,0.45126262626262625
9,0.6743215031315241,0.6792452830188679,0.5261904761904761,0.5895833333333333,0.5452380952380953
10,0.7056367432150313,0.5283018867924528,0.39293478260869563,0.45416666666666666,0.41098901098901097
Average,0.6831609612075366,0.611006289308176,0.49921034625251204,0.5381696428571427,0.5098738826538655
