fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.7614457831325301,0.6595744680851063,0.6888888888888888,0.6569444444444444,0.6477119628339141
2,0.7710843373493976,0.7021276595744681,0.7093406593406594,0.7000000000000001,0.6994708994708995
3,0.7644230769230769,0.6521739130434783,0.6613756613756614,0.6527777777777778,0.6541274817136885
4,0.75,0.782608695652174,0.7821455505279035,0.7861111111111111,0.780288283277716
5,0.7884615384615384,0.717391304347826,0.7230769230769231,0.7194444444444444,0.7167537443399512
6,0.7788461538461539,0.717391304347826,0.7169312169312169,0.7152777777777777,0.7146720757268424
7,0.7596153846153846,0.6521739130434783,0.5344405594405595,0.49062500000000003,0.49733457595526565
8,0.7548076923076923,0.7391304347826086,0.5843531468531469,0.55625,0.5597764304660857
9,0.7379807692307693,0.6521739130434783,0.6966403162055336,0.6541666666666667,0.6549707602339181
10,0.7692307692307693,0.6086956521739131,0.6400560224089636,0.6055555555555555,0.5921375921375921
Average,0.7635895505097312,0.6883441258094358,0.6737248945049457,0.6537152777777778,0.6517243806155874
