characteristic,node
148,0
148,2
147,0
147,1
147,2
146,1
145,1
145,2
144,0
144,1
143,2
142,0
142,1
142,3
141,0
141,1
141,2
141,3
140,1
140,2
139,0
139,2
139,3
138,0
138,3
137,0
137,1
137,2
137,3
136,0
136,1
135,0
135,1
135,3
134,0
134,2
134,3
133,1
132,0
132,1
132,3
131,0
131,1
131,2
130,0
130,2
130,3
129,2
128,0
128,2
127,1
127,2
127,3
126,0
126,3
125,2
125,3
124,3
123,0
123,1
123,2
123,3
122,0
122,1
122,2
122,3
121,0
121,3
120,1
120,2
118,3
116,0
116,1
116,2
116,3
115,0
115,1
115,2
115,3
113,0
113,2
113,3
112,0
112,1
111,0
111,1
111,3
110,1
110,2
110,3
109,0
109,1
109,2
109,3
108,0
108,1
108,3
107,0
107,1
107,2
107,3
106,0
106,1
106,3
105,0
105,1
104,0
104,1
104,2
104,3
103,0
103,1
103,2
103,3
102,0
102,1
102,3
101,2
101,3
100,0
100,1
100,2
99,1
99,2
99,3
98,0
98,1
98,2
98,3
97,1
97,3
96,1
96,2
96,3
95,0
95,2
95,3
94,0
94,2
94,3
93,2
92,1
92,2
92,3
91,1
91,2
91,3
90,0
90,2
89,1
89,3
88,1
88,3
87,0
87,1
87,2
87,3
86,0
86,2
86,3
85,0
85,1
85,3
84,2
83,0
83,1
83,2
83,3
82,2
82,3
81,1
81,3
80,0
80,1
80,2
79,1
79,3
78,1
78,3
77,0
77,3
76,0
75,1
75,2
75,3
74,0
74,1
74,2
73,0
73,1
73,3
72,1
72,2
72,3
71,2
70,0
70,2
70,3
69,0
69,3
68,0
68,1
68,3
67,3
66,3
65,0
65,2
65,3
64,1
64,2
63,1
63,3
62,1
62,3
61,0
61,2
61,3
60,0
60,3
59,1
59,2
58,1
57,2
57,3
56,0
56,1
56,2
56,3
55,0
54,3
53,0
53,1
52,0
52,1
52,2
52,3
51,0
51,1
50,3
49,0
48,0
48,1
48,3
47,2
47,3
46,0
46,2
45,0
45,1
45,3
44,0
44,1
44,2
43,2
43,3
42,0
42,1
42,2
41,1
41,2
40,1
40,3
39,2
38,0
37,1
37,2
37,3
36,0
36,1
36,2
35,2
35,3
34,0
34,2
34,3
33,3
32,2
31,0
31,1
31,2
31,3
29,0
29,3
28,2
27,0
27,1
27,3
26,1
26,2
26,3
25,1
25,2
25,3
24,0
24,2
23,0
23,1
23,3
22,2
22,3
21,0
21,1
21,3
20,0
20,2
20,3
19,0
19,1
19,2
18,0
18,2
18,3
17,1
17,2
16,1
16,2
16,3
15,0
15,1
15,2
14,0
14,1
14,2
14,3
13,0
13,3
12,0
12,1
12,2
12,3
11,1
11,2
11,3
10,1
9,0
9,1
9,2
9,3
8,1
8,3
7,0
7,1
7,2
7,3
6,0
6,1
6,2
6,3
4,0
4,1
4,2
4,3
3,1
3,2
2,3
0,0
