fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.7734939759036145,0.723404255319149,0.7380952380952381,0.7222222222222222,0.721388054721388
2,0.7903614457831325,0.6595744680851063,0.6627450980392157,0.6597222222222222,0.6608015640273704
3,0.7932692307692307,0.6739130434782609,0.6793907846539425,0.6749999999999999,0.6718020541549953
4,0.7860576923076923,0.782608695652174,0.7947368421052632,0.7819444444444444,0.7813854335043456
5,0.7836538461538461,0.782608695652174,0.7834733893557422,0.7833333333333333,0.7817714126807563
6,0.7764423076923077,0.6086956521739131,0.6606855302507476,0.6111111111111112,0.6105263157894737
7,0.78125,0.5869565217391305,0.5947712418300654,0.5874999999999999,0.587682379349046
8,0.8052884615384616,0.6956521739130435,0.6937321937321936,0.6972222222222223,0.6919657403528371
9,0.7740384615384616,0.782608695652174,0.7868884927708457,0.7819444444444444,0.7762237762237763
10,0.8100961538461539,0.6304347826086957,0.6535087719298246,0.6277777777777778,0.6181707465594933
Average,0.7873951575532901,0.692645698427382,0.7048027582763079,0.6927777777777777,0.6901717477363483
