fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.46923076923076923,0.5,0.5505555555555556,0.429047619047619,0.40575757575757576
2,0.5365384615384615,0.43103448275862066,0.4131578947368421,0.34523809523809523,0.33272677554876084
3,0.4423076923076923,0.3620689655172414,0.2728138528138528,0.3107142857142857,0.26372924648786716
4,0.5365384615384615,0.5689655172413793,0.528219696969697,0.4554761904761905,0.4525430597771023
5,0.475,0.5,0.4269197469197469,0.40547619047619043,0.382496251874063
6,0.49230769230769234,0.46551724137931033,0.5145833333333333,0.3644047619047619,0.3185330347144457
7,0.48653846153846153,0.46551724137931033,0.3317460317460318,0.4270238095238096,0.36393557422969186
8,0.45576923076923076,0.3793103448275862,0.16140350877192983,0.28250000000000003,0.20042780748663103
9,0.510556621880998,0.5087719298245614,0.3389636732435921,0.3866666666666666,0.34807692307692306
10,0.4817658349328215,0.40350877192982454,0.258036272670419,0.3066666666666667,0.23650793650793656
Average,0.48865532260445893,0.45846944948578344,0.3796399566761,0.3713214285714286,0.33047341854609974
