characteristic,node
148,0
148,2
148,4
148,5
148,6
147,1
147,2
147,3
147,5
147,6
146,0
146,1
146,5
145,0
145,1
145,2
145,3
145,4
145,6
144,1
144,4
144,5
144,6
143,2
143,3
143,6
142,2
142,4
141,2
140,1
140,4
140,5
139,0
139,4
139,6
138,0
137,1
137,5
136,0
136,4
135,1
135,4
135,6
134,0
134,4
134,6
133,0
133,1
132,4
132,5
131,1
131,2
131,4
131,5
131,6
130,2
130,3
130,4
129,2
129,5
128,2
128,4
128,5
128,6
127,4
127,5
127,6
126,0
126,1
126,3
126,4
126,6
125,0
125,1
125,2
125,3
125,4
125,5
124,0
124,6
123,0
123,5
123,6
120,0
120,3
120,5
120,6
119,2
119,3
119,6
118,0
118,2
118,3
118,4
118,5
117,2
117,4
116,0
116,2
116,4
115,2
115,3
115,4
115,5
114,0
114,5
113,2
113,3
113,4
112,1
112,2
112,5
112,6
111,0
111,1
111,6
110,0
110,4
110,5
109,2
109,3
108,0
108,5
107,1
107,2
107,5
106,2
106,5
106,6
105,2
105,3
105,4
104,6
103,0
103,4
102,0
102,1
102,3
102,4
101,1
101,3
101,4
100,1
100,2
100,3
99,0
99,2
98,1
98,4
98,5
97,1
97,3
97,6
96,0
96,1
96,3
96,4
95,0
95,4
95,6
94,1
94,4
93,0
93,1
93,2
93,3
92,0
92,1
91,0
91,3
91,4
91,5
90,0
90,3
89,0
89,3
89,5
89,6
88,0
88,4
88,6
87,2
87,3
87,4
86,0
86,1
86,6
85,0
85,1
85,3
84,0
84,1
84,2
84,5
84,6
83,1
83,3
83,5
83,6
82,0
82,1
82,2
81,0
81,3
81,5
81,6
80,1
80,3
80,5
80,6
79,0
79,1
79,2
79,3
79,4
79,5
79,6
78,0
78,1
78,2
78,4
77,1
77,2
77,3
77,5
77,6
76,0
76,1
76,2
76,3
76,6
75,0
75,4
75,5
74,0
74,1
74,2
74,4
74,5
73,0
73,3
73,6
72,1
72,3
72,4
72,6
71,2
71,4
71,5
70,4
70,5
70,6
69,0
69,2
69,3
69,4
69,5
68,0
68,1
68,2
68,6
67,0
67,2
67,4
67,6
66,1
66,2
66,3
66,6
65,3
65,4
65,6
64,0
64,2
64,3
64,5
63,2
63,6
62,1
62,4
61,0
61,4
60,0
60,1
60,3
60,5
60,6
59,0
59,2
59,5
59,6
58,0
58,2
58,6
57,1
57,4
57,6
56,1
56,4
56,6
55,0
55,1
55,3
55,4
55,5
55,6
54,0
54,2
54,4
54,5
53,4
53,6
52,3
52,4
52,5
51,0
51,2
51,4
50,1
50,2
50,3
50,5
49,3
48,5
48,6
47,1
47,2
47,4
47,5
47,6
46,0
46,2
46,4
46,5
46,6
45,0
45,3
45,5
44,0
44,4
43,2
43,3
43,5
43,6
42,0
42,1
41,0
41,1
41,3
41,4
41,6
40,0
40,2
40,6
39,0
38,1
38,2
38,6
37,1
37,5
36,0
36,5
35,1
35,2
35,4
35,5
34,0
33,0
33,2
32,1
32,6
31,3
31,4
31,5
30,0
30,3
30,4
30,5
29,3
29,5
28,0
28,1
28,4
28,5
27,0
27,3
27,5
26,0
25,3
25,4
25,5
25,6
24,3
24,5
23,0
23,3
23,5
22,4
21,4
21,5
20,0
20,1
20,4
20,5
19,6
18,0
18,2
18,3
18,4
18,6
17,1
17,3
17,4
17,6
16,2
15,0
15,1
15,5
15,6
14,0
14,1
14,2
14,4
13,1
13,5
12,2
12,4
12,5
11,1
11,3
10,0
10,2
10,3
10,5
9,2
9,4
9,5
8,0
7,0
7,1
7,2
7,3
6,0
6,1
6,2
5,1
5,4
5,5
5,6
4,1
4,3
4,6
3,0
3,2
3,3
3,4
3,5
3,6
2,0
2,5
1,0
1,1
1,2
1,3
1,5
2,2
