fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.7759036144578313,0.7021276595744681,0.7156862745098039,0.7027777777777778,0.693554131054131
2,0.7662650602409639,0.6808510638297872,0.6867167919799498,0.6805555555555555,0.6806787082649152
3,0.7764423076923077,0.7608695652173914,0.7680672268907562,0.7611111111111111,0.7630932517612162
4,0.7620192307692307,0.6956521739130435,0.6904761904761904,0.6958333333333333,0.6926446051167964
5,0.7788461538461539,0.6521739130434783,0.5096570096570097,0.490625,0.48957412319481286
6,0.8028846153846154,0.6521739130434783,0.6782828282828284,0.6541666666666667,0.6539682539682539
7,0.7692307692307693,0.6739130434782609,0.6912878787878788,0.6694444444444444,0.6560862183509264
8,0.7692307692307693,0.6739130434782609,0.7004662004662006,0.6763888888888889,0.6707421707421708
9,0.7860576923076923,0.6739130434782609,0.7159391534391535,0.6777777777777777,0.6721146953405017
10,0.7788461538461539,0.6304347826086957,0.6241486068111456,0.6263888888888888,0.6159523809523809
Average,0.7765726367006488,0.6796022201665124,0.6780728161300916,0.6635069444444445,0.6588408538746104
