fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6692307692307692,0.6206896551724138,0.4747073578595318,0.5123809523809524,0.4868250029540352
2,0.6269230769230769,0.603448275862069,0.32063492063492066,0.38055555555555554,0.3462962962962963
3,0.6730769230769231,0.5517241379310345,0.4658823529411764,0.4734523809523809,0.45775341775341777
4,0.6423076923076924,0.5172413793103449,0.40826330532212884,0.43238095238095237,0.4137241137241137
5,0.6480769230769231,0.603448275862069,0.4910144927536232,0.5278571428571428,0.49359063986048907
6,0.6326923076923077,0.5344827586206896,0.3341880341880342,0.3975,0.35404230657780356
7,0.65,0.5,0.38571428571428573,0.42321428571428565,0.40081547064305684
8,0.6942307692307692,0.5517241379310345,0.3863122171945701,0.374702380952381,0.3605672105672106
9,0.6314779270633397,0.631578947368421,0.33053221288515405,0.4000000000000001,0.36111111111111116
10,0.6295585412667947,0.47368421052631576,0.32803030303030306,0.33809523809523806,0.3204486267644162
Average,0.6497574929868597,0.5588021778584392,0.3925279482523728,0.4260138888888888,0.39951741962519505
