fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6602409638554216,0.6808510638297872,0.722783389450056,0.6749999999999999,0.6616422624174562
2,0.6,0.425531914893617,0.48677248677248675,0.41944444444444445,0.365604647069178
3,0.65625,0.6956521739130435,0.7171717171717171,0.6958333333333333,0.6958997991256055
4,0.6850961538461539,0.5434782608695652,0.5949235949235949,0.5472222222222222,0.5377145438121048
5,0.5625,0.5217391304347826,0.569327731092437,0.525,0.5208333333333334
6,0.6875,0.6521739130434783,0.7554112554112554,0.6583333333333333,0.6473775634544087
7,0.6225961538461539,0.6304347826086957,0.7256778309409887,0.6277777777777778,0.6114543114543114
8,0.6514423076923077,0.5652173913043478,0.709848484848485,0.5680555555555555,0.5361111111111111
9,0.6586538461538461,0.7391304347826086,0.7461538461538462,0.7416666666666666,0.7346469622331692
10,0.6802884615384616,0.5652173913043478,0.6292087542087542,0.5652777777777778,0.5576259489302967
Average,0.6464567886932344,0.6019426456984273,0.6657279090973621,0.602361111111111,0.5868910482940974
