characteristic,node
148,0
148,1
148,3
148,4
148,5
147,0
147,1
147,2
147,3
147,4
147,5
146,2
146,3
146,4
145,1
145,2
145,3
144,0
144,1
144,4
143,0
143,1
143,2
143,3
143,5
142,0
142,2
142,3
141,2
141,4
140,1
140,2
140,3
140,4
139,0
139,2
139,3
139,5
138,1
138,2
138,5
137,0
137,1
137,2
137,4
137,5
136,1
136,3
135,0
135,1
135,3
135,4
135,5
134,1
134,2
134,5
133,1
133,2
133,3
133,4
133,5
132,1
132,2
132,4
131,0
131,1
131,2
131,3
131,5
130,0
130,3
130,4
130,5
129,1
129,4
128,1
127,0
127,1
127,2
127,4
126,0
126,5
125,2
125,4
125,5
124,0
124,2
124,3
124,4
123,2
123,3
123,4
122,1
122,2
122,3
122,4
122,5
121,0
121,1
121,2
121,4
121,5
120,1
120,4
119,0
119,2
118,0
118,3
118,4
118,5
117,0
117,1
117,2
117,5
116,3
115,0
115,1
115,2
115,3
115,4
114,0
114,1
114,2
114,4
113,0
113,1
113,2
113,4
112,2
112,3
112,4
112,5
111,2
111,3
111,4
111,5
110,1
110,2
110,5
109,1
109,2
109,5
108,1
108,3
108,4
108,5
107,1
107,2
107,3
107,4
106,0
106,3
105,0
105,1
105,4
105,5
104,2
104,4
104,5
103,0
103,1
103,2
103,4
103,5
102,0
102,1
102,2
102,4
102,5
101,1
101,3
101,5
100,0
100,1
100,2
100,3
100,5
99,0
99,1
99,2
99,5
98,0
98,1
97,0
97,1
97,3
97,4
97,5
96,1
96,2
96,5
95,0
95,1
95,3
95,4
95,5
94,0
94,1
94,2
94,3
94,4
94,5
93,0
93,1
93,2
92,0
92,2
92,4
92,5
91,0
91,1
91,2
91,4
90,0
90,1
90,2
90,3
90,4
90,5
89,0
89,2
89,3
89,5
88,1
88,2
88,3
88,4
87,0
87,2
87,3
86,0
86,2
86,3
85,3
85,4
84,0
84,1
84,3
84,5
83,0
83,2
83,5
82,3
82,4
82,5
81,2
81,3
81,4
81,5
80,2
80,5
79,1
79,3
78,0
78,1
78,2
78,3
78,5
77,0
77,1
77,2
77,3
77,5
76,0
76,2
76,4
76,5
75,0
75,2
75,3
75,4
75,5
74,0
74,1
74,2
74,4
73,0
73,1
73,3
73,4
72,0
72,4
72,5
71,0
71,3
71,4
71,5
70,2
70,3
70,4
69,0
69,2
69,3
69,4
69,5
68,2
68,3
67,0
67,2
67,3
67,4
67,5
66,2
66,4
66,5
65,1
65,2
65,3
65,4
64,1
64,2
64,3
64,4
64,5
63,2
63,5
62,0
62,1
62,2
62,3
62,4
62,5
61,0
61,3
61,4
61,5
60,0
60,1
60,2
60,3
60,4
59,0
59,1
59,2
59,3
59,4
58,0
58,1
58,3
58,4
57,0
57,3
57,4
57,5
56,0
56,2
56,3
56,4
56,5
55,1
55,3
55,4
54,0
54,1
54,2
54,3
54,4
53,0
53,2
53,3
53,4
52,0
52,1
52,4
52,5
51,1
51,3
51,5
50,1
50,2
50,3
50,4
50,5
49,2
49,3
49,4
49,5
48,0
48,1
48,2
48,4
48,5
47,1
47,3
47,4
46,0
46,1
46,2
46,3
46,4
45,0
45,2
44,3
44,4
44,5
43,1
43,2
43,4
43,5
42,0
42,1
42,3
42,5
41,0
41,2
41,3
41,4
41,5
40,0
40,4
40,5
39,0
39,1
39,5
38,0
38,2
38,5
37,0
37,2
37,3
37,5
36,0
36,1
36,4
35,2
35,4
35,5
34,1
34,2
34,4
34,5
33,0
33,3
33,5
32,1
32,2
32,4
31,0
31,3
30,0
30,2
30,3
30,4
30,5
29,1
29,2
29,3
28,1
28,2
28,3
28,5
27,2
27,3
27,5
26,0
26,1
26,2
26,3
26,4
25,0
25,4
24,0
24,2
24,3
23,1
23,2
23,3
23,4
23,5
22,2
22,5
21,0
21,1
21,3
21,4
20,0
20,1
20,4
19,0
19,2
19,3
19,4
18,1
18,3
18,4
18,5
17,0
17,1
17,3
17,4
17,5
16,0
16,1
16,2
16,3
16,5
15,0
15,2
15,3
15,4
15,5
14,0
14,1
14,2
14,3
14,4
14,5
13,1
13,4
13,5
12,0
12,2
12,4
12,5
11,2
11,3
10,0
10,1
10,2
10,4
10,5
9,0
9,2
9,4
9,5
8,1
8,4
8,5
7,1
7,2
7,3
7,5
6,0
6,1
6,2
6,3
5,2
5,3
4,1
4,2
4,3
4,4
3,4
3,5
2,2
2,4
2,5
1,1
1,3
1,4
1,5
0,0
1,1
4,4
