fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.5627615062761506,0.5925925925925926,0.4771091811414392,0.5072916666666667,0.46538517975055027
2,0.5711297071129707,0.3888888888888889,0.4361111111111111,0.340625,0.3017224880382775
3,0.5803757828810021,0.41509433962264153,0.3226190476190476,0.3625,0.32653548002385213
4,0.5323590814196242,0.41509433962264153,0.4652777777777778,0.365625,0.28589500316255534
5,0.4780793319415449,0.4339622641509434,0.5041666666666667,0.39404761904761904,0.33262987012987016
6,0.5782881002087683,0.5283018867924528,0.4650793650793651,0.45416666666666666,0.435032483758121
7,0.6075156576200418,0.6226415094339622,0.792094017094017,0.5575892857142857,0.5632662835249043
8,0.5073068893528184,0.3584905660377358,0.30472350230414746,0.3125,0.28460769615192405
9,0.592901878914405,0.4716981132075472,0.4442528735632184,0.4072916666666667,0.3989393939393939
10,0.5720250521920668,0.5094339622641509,0.43125,0.4385416666666666,0.40833722923484495
Average,0.5582742987919392,0.4736198462613556,0.464268354235679,0.4140178571428571,0.38023511077142935
