fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6576923076923077,0.7241379310344828,0.5529824561403508,0.5932142857142857,0.5699547511312218
2,0.6961538461538461,0.5344827586206896,0.40353535353535347,0.36428571428571427,0.3584199584199584
3,0.6615384615384615,0.5172413793103449,0.4333333333333333,0.44678571428571423,0.4384289729877965
4,0.6519230769230769,0.6724137931034483,0.5099206349206349,0.5457142857142857,0.5250623885918003
5,0.6653846153846154,0.6551724137931034,0.5859649122807017,0.5179761904761905,0.5087208216619982
6,0.6211538461538462,0.5517241379310345,0.33004329004329,0.41,0.36268526591107236
7,0.65,0.5689655172413793,0.4587301587301587,0.5095238095238095,0.46866696521868934
8,0.6634615384615384,0.46551724137931033,0.35571428571428576,0.399047619047619,0.3719347049164493
9,0.6314779270633397,0.5964912280701754,0.3905138339920948,0.4533333333333333,0.40647773279352223
10,0.6717850287907869,0.543859649122807,0.4016483516483517,0.3952380952380952,0.3764474008376448
Average,0.6570570648161818,0.5830006049606775,0.4422386610338555,0.4635119047619048,0.4386798962470153
