fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.9057692307692308,0.7586206896551724,0.7445975232198142,0.7295238095238096,0.7275238095238095
2,0.9038461538461539,0.7586206896551724,0.797843137254902,0.7480952380952381,0.761505376344086
3,0.8980769230769231,0.8103448275862069,0.8458823529411765,0.7911904761904762,0.8137595737595736
4,0.8903846153846153,0.7758620689655172,0.8304761904761904,0.7608333333333334,0.7671511847982437
5,0.9019230769230769,0.6896551724137931,0.7128704113224236,0.6492857142857142,0.6666310160427809
6,0.9019230769230769,0.7758620689655172,0.8029411764705883,0.7975,0.7958874458874459
7,0.8903846153846153,0.8448275862068966,0.8712820512820514,0.8291666666666668,0.8360364145658263
8,0.8942307692307693,0.7068965517241379,0.6505454813504349,0.6395238095238096,0.6383333333333333
9,0.8925143953934741,0.8070175438596491,0.8762745098039215,0.7466666666666667,0.7521296296296297
10,0.8982725527831094,0.6842105263157895,0.714173669467787,0.6914285714285714,0.6908333333333333
Average,0.8977325409715045,0.7611917725347853,0.784688650358929,0.7383214285714287,0.7449791117218061
