fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6192307692307693,0.5517241379310345,0.40249999999999997,0.4302380952380952,0.4105106866397189
2,0.6365384615384615,0.5517241379310345,0.373015873015873,0.373313492063492,0.3655567793498828
3,0.6192307692307693,0.5172413793103449,0.3956043956043956,0.41464285714285715,0.40144885540423064
4,0.5884615384615385,0.5344827586206896,0.29654761904761906,0.3298611111111111,0.30854008971124197
5,0.5923076923076923,0.5517241379310345,0.33986928104575165,0.4091666666666667,0.370334928229665
6,0.6153846153846154,0.5344827586206896,0.3396521739130435,0.39666666666666667,0.3503110496692011
7,0.5769230769230769,0.4827586206896552,0.29715099715099713,0.3625,0.32006443169233867
8,0.5961538461538461,0.43103448275862066,0.31769230769230766,0.3394047619047619,0.32412698412698415
9,0.6065259117082533,0.5789473684210527,0.35777777777777775,0.44000000000000006,0.39095571095571097
10,0.6084452975047985,0.49122807017543857,0.30825757575757573,0.37333333333333335,0.32399228012131237
Average,0.6059201978443821,0.5225347852389595,0.3428068001005341,0.3869126984126984,0.3565841795900287
