fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.65,0.5172413793103449,0.41014328808446454,0.4196428571428571,0.4027272727272727
2,0.6423076923076924,0.46551724137931033,0.29002557544757035,0.3524999999999999,0.31730769230769235
3,0.6384615384615384,0.5689655172413793,0.4938345864661654,0.4682142857142857,0.46973677663332836
4,0.6653846153846154,0.7068965517241379,0.47380952380952385,0.47767857142857145,0.4691500256016385
5,0.6173076923076923,0.43103448275862066,0.3980952380952381,0.2800595238095238,0.27467082467082465
6,0.6192307692307693,0.46551724137931033,0.29830827067669174,0.34500000000000003,0.3151648351648352
7,0.6269230769230769,0.5172413793103449,0.315,0.3916666666666667,0.34677606177606174
8,0.675,0.5,0.3975,0.39357142857142857,0.3715924219150025
9,0.6468330134357005,0.5789473684210527,0.34236460717009914,0.44000000000000006,0.3822084623323013
10,0.6218809980806143,0.43859649122807015,0.27692307692307694,0.3333333333333333,0.28604511191997933
Average,0.64033293961317,0.5189957652752571,0.36960041666728294,0.39016666666666666,0.3635379485048936
